epoch,batch,mean_grad_norm,std_grad
0,126,3.4924597e-10,6.0912724e-05
0,127,2.593879e-10,3.6741676e-05
0,128,1.5425031e-10,0.00019123813
0,129,3.390596e-10,6.11393e-05
0,130,5.3114492e-11,4.39359e-05
0,131,2.2700988e-10,0.00010652665
0,132,7.6761354e-11,7.961078e-05
0,133,1.6007107e-10,0.00014572435
0,134,2.764864e-10,0.00018402569
0,135,3.5652192e-10,9.5974974e-05
0,136,9.8953026e-11,3.2967822e-05
0,137,2.2118911e-10,0.00033679325
0,138,2.6375346e-11,4.146854e-05
0,139,3.1832315e-11,2.9965933e-05
0,140,1.3533281e-10,0.00015251387
0,141,3.5943232e-10,8.02021e-05
0,142,2.3537722e-10,2.7544818e-05
0,143,2.07001e-10,7.4969925e-05
0,144,1.7398634e-10,2.698791e-05
0,145,3.303285e-10,0.00010653497
0,146,3.1359376e-10,9.021458e-05
0,147,1.7898856e-10,7.1337105e-05
0,148,2.7830538e-10,0.00011000534
0,149,3.101377e-10,6.080755e-05
0,150,2.0372681e-10,0.00012742655
0,151,2.3756003e-10,0.00014390245
0,152,3.0158845e-10,8.3258914e-05
0,153,2.1427696e-10,7.997568e-05
0,154,1.1432348e-10,7.313714e-05
0,155,1.9790605e-10,0.0001884395
0,156,1.0477379e-10,0.00020579154
0,157,1.4551915e-10,9.957662e-05
0,158,2.2555469e-10,7.7919845e-05
0,159,1.6298145e-10,0.0001635608
0,160,2.1391315e-10,7.0957365e-05
0,161,1.4624675e-10,8.2538856e-05
0,162,1.7607818e-10,6.5342574e-05
0,163,2.0372681e-10,0.0001463992
0,164,2.8503563e-10,3.3316046e-05
0,165,2.0227162e-10,0.00022010351
0,166,2.6266206e-10,6.2860854e-05
0,167,4.132744e-10,0.0001323636
0,168,1.2805686e-10,0.00025469688
0,169,2.3210305e-10,0.00012567083
0,170,1.5279511e-10,4.737216e-05
0,171,2.5465852e-10,0.00011421333
0,172,2.7976058e-10,4.4487704e-05
0,173,2.746674e-10,5.24127e-05
0,174,9.276846e-11,4.4230062e-05
0,175,1.0477379e-10,5.2373794e-05
0,176,2.5902408e-10,8.8341105e-05
0,177,1.704393e-10,6.1156534e-05
0,178,2.057277e-10,4.1575888e-05
0,179,3.130481e-10,0.0004781511
0,180,2.2628228e-10,3.0018502e-05
0,181,1.5934347e-10,3.462061e-05
0,182,1.10230755e-10,6.605848e-05
0,183,2.0354492e-10,7.007507e-05
0,184,1.9499566e-10,0.00012040516
0,185,2.3501343e-10,2.5807263e-05
0,186,3.0213415e-10,5.5456443e-05
0,187,2.1791494e-10,6.745796e-05
0,188,1.954504e-10,6.483165e-05
0,189,1.3969839e-10,0.0003959624
0,190,2.4811014e-10,2.2082979e-05
0,191,2.4447216e-10,0.0005048935
0,192,5.2386893e-11,9.293623e-05
0,193,2.5247573e-10,5.313958e-05
0,194,1.193257e-10,5.879166e-05
0,195,2.1464075e-10,3.3604232e-05
0,196,1.3023964e-10,3.3202665e-05
0,197,3.0659067e-10,3.663374e-05
0,198,8.731149e-11,0.0001261094
0,199,3.7107383e-11,6.808796e-05
0,200,5.820766e-11,6.570912e-05
0,201,1.9645086e-10,0.00018436814
0,202,1.4333637e-10,5.4474203e-05
0,203,1.1423253e-10,4.2320524e-05
0,204,2.244633e-10,5.396959e-05
0,205,1.2514648e-10,5.9278762e-05
0,206,3.8780854e-10,5.3333264e-05
0,207,2.6557245e-10,4.3586082e-05
0,208,2.3501343e-10,4.139767e-05
0,209,2.2700988e-10,0.00027545926
0,210,3.0704542e-10,0.00010772537
0,211,1.715307e-10,3.279197e-05
0,212,3.8926373e-11,4.9542174e-05
0,213,9.749783e-11,3.5389414e-05
0,214,2.0445441e-10,4.181413e-05
0,215,1.4215402e-10,3.8010407e-05
0,216,1.8626452e-10,0.000291522
0,217,1.9499566e-10,3.352346e-05
0,218,9.822543e-11,7.218117e-05
0,219,1.3533281e-10,0.00011428728
0,220,1.09503163e-10,0.000117840245
0,221,2.244633e-10,3.8676862e-05
0,222,2.1245797e-10,0.0003337997
0,223,1.8080755e-10,5.8997743e-05
0,224,2.1827873e-10,0.00017090164
0,225,1.5716069e-10,4.15485e-05
0,226,2.1464075e-10,5.747469e-05
0,227,2.1100277e-10,0.00013847898
0,228,1.7353159e-10,7.70132e-05
0,229,1.1541488e-10,5.7006153e-05
0,230,5.3114492e-11,8.709269e-05
0,231,1.6170816e-10,6.6592096e-05
0,232,2.550223e-10,4.816135e-05
0,233,2.1700544e-10,4.9777253e-05
0,234,2.9831426e-10,0.00010656478
0,235,9.422365e-11,4.720207e-05
0,236,1.4888428e-10,6.215113e-05
0,237,2.3646862e-10,3.3232005e-05
0,238,2.5138433e-10,6.234372e-05
0,239,1.2423698e-10,4.581464e-05
0,240,1.7844286e-10,4.6659097e-05
0,241,9.8953026e-11,0.00043605696
0,242,1.2805686e-10,0.00059099897
0,243,3.0267983e-10,0.00029819334
0,244,1.638e-10,4.6713376e-05
0,245,2.8012437e-10,5.997432e-05
0,246,1.695298e-10,6.603598e-05
0,247,2.4774635e-10,5.4593307e-05
0,248,1.4479155e-10,6.481742e-05
0,249,1.6607374e-10,5.613276e-05
0,250,3.754394e-10,0.00016741567
0,251,5.5297277e-11,0.00022801825
0,252,2.1391315e-10,0.0007043099
0,253,1.5716069e-10,0.00015493673
0,254,3.29419e-10,5.4212855e-05
0,255,6.543814e-11,3.9163628e-05
0,256,1.875378e-10,3.4922006e-05
0,257,1.4624675e-10,5.0908242e-05
0,258,6.5483617e-12,5.459063e-05
0,259,2.1645974e-10,4.096132e-05
0,260,2.3701432e-10,4.5096793e-05
0,261,1.1750671e-10,9.5198724e-05
0,262,1.10230755e-10,5.8839832e-05
0,263,2.8667274e-10,0.00017135267
0,264,6.111804e-11,4.3512304e-05
0,265,1.6298145e-10,0.0005513862
0,266,2.6161615e-10,1.931171e-05
0,267,1.36788e-10,0.00011209811
0,268,1.5097612e-10,3.6778918e-05
0,269,3.3742253e-10,1.9396466e-05
0,270,2.226443e-10,6.881762e-05
0,271,2.415618e-10,0.00022318317
0,272,2.1827873e-10,0.00013446381
0,273,2.6238922e-10,2.7973978e-05
0,274,4.280082e-10,2.7189575e-05
0,275,3.0122466e-10,4.6053283e-05
0,276,2.0445441e-10,6.184366e-05
0,277,2.6193447e-11,7.462944e-05
0,278,1.8480932e-10,9.932692e-05
0,279,2.3574104e-10,5.9192735e-05
0,280,1.6716513e-10,5.7684912e-05
0,281,2.752131e-10,4.517783e-05
0,282,3.0177033e-10,3.938798e-05
0,283,2.1755113e-10,8.586297e-05
0,284,1.3969839e-10,9.674433e-05
0,285,1.9863364e-10,7.2098526e-05
0,286,2.6739144e-11,9.798995e-05
0,287,2.1245797e-10,0.000119972494
0,288,3.4924598e-11,5.3121796e-05
0,289,1.4429133e-10,5.5215005e-05
0,290,3.47427e-11,2.5203326e-05
